,tp,lnsp,temp19,temp9,temp2,temp0,u19,u9,u2,u0,v19,v9,v2,v0,sza,tp_mean,tp_sd,balloon,abs_gwmf
48,6.938894e-18,11.521977,204.29768,246.38916,287.7528,300.72073,6.324826,-1.3550627,-5.9739003,-4.18634,-1.2638052,-3.8228753,2.8698683,0.14490725,116.93414,7.704666e-05,0.00012388077,1,0.00023914414
49,6.938894e-18,11.522572,204.99316,246.48058,288.5186,301.00412,6.6649423,-2.6960573,-3.1205542,-4.9314814,-3.4784024,-3.4711504,1.6914088,-0.25395596,103.18556,2.1817763e-05,4.251064e-05,1,0.00027412956
50,6.938894e-18,11.523367,204.91862,246.44753,288.5397,301.05334,7.5736513,-2.9037623,-3.5035102,-4.886046,-3.4031625,-3.3995364,1.2771349,-0.4706112,88.88865,2.8833674e-05,6.0387538e-05,1,0.00034514753
51,6.938894e-18,11.524163,204.84409,246.41447,288.5608,301.10257,8.48236,-3.1114671,-3.886466,-4.8406105,-3.3279223,-3.3279223,0.86286104,-0.68726647,74.7803,1.9464867e-05,3.4976354e-05,1,0.00025809027
52,6.938894e-18,11.52469,203.89052,246.51994,289.0214,301.24182,8.246097,-4.0928726,-1.5653639,-5.0690856,-3.468431,-2.864697,0.7749298,-0.83502716,60.715237,2.4384562e-06,7.5716853e-06,1,0.00023427252
53,6.938894e-18,11.524672,202.97284,246.55582,289.02634,301.27347,8.16561,-4.0266666,-1.4173741,-4.8652754,-3.1520598,-3.048718,0.43136355,-1.0779711,46.616272,1.5828575e-06,4.518501e-06,1,0.00020226563
54,6.938894e-18,11.524654,202.05515,246.59167,289.03125,301.3051,8.085125,-3.960461,-1.2693844,-4.6614647,-2.8356888,-3.232739,0.08779729,-1.3209151,33.037056,3.2940547e-06,9.717356e-06,1,0.00045215068
55,6.938894e-18,11.524274,201.2134,246.5769,289.42996,301.1708,7.9669924,-4.170762,-0.6501642,-4.4316916,-2.7350664,-2.7459445,1.3052366,-0.53678626,20.828775,4.7057927e-07,1.4844081e-06,1,0.00028296356
56,6.938894e-18,11.523467,200.54886,246.66763,289.43417,301.11664,8.413558,-4.1240287,-0.5450136,-4.236968,-2.7785788,-2.9091158,0.9943046,-0.62834346,14.324484,2.5667958e-07,1.060045e-06,1,0.0002738917
57,6.938894e-18,11.522405,199.73033,246.80687,289.50803,301.37473,7.5749497,-4.863977,-2.2079508,-3.6333258,-2.2020402,-3.107641,1.1647279,0.6643359,19.549143,4.235213e-06,9.082452e-06,1,0.00049521937
58,6.938894e-18,11.522205,199.24792,246.85329,289.46442,301.38034,7.5632663,-5.170342,-1.7743669,-3.5567346,-1.7288433,-2.7885504,0.6443927,0.15215929,31.35454,7.914287e-06,1.8571123e-05,1,0.00044195063
59,6.938894e-18,11.522007,198.76552,246.89969,289.42084,301.386,7.551583,-5.4767065,-1.340783,-3.4801433,-1.2556466,-2.4694598,0.12405757,-0.36001733,44.79221,9.283245e-06,2.0092273e-05,1,0.00055299
60,6.938894e-18,11.521839,198.43289,246.86594,289.05234,301.30087,6.235253,-5.5844536,-2.6636035,-3.185462,-0.12704495,-1.7397214,-0.24126486,-1.5738306,58.709877,0.0003148175,0.00067857036,1,0.0003937829
61,1.1764481e-05,11.522496,198.3879,246.86101,289.34558,301.30862,6.1846247,-5.921974,-2.4364262,-2.9024642,-0.16330524,-1.7714492,-0.18506141,-1.2402359,72.81265,0.00021437024,0.0004259918,1,0.0006425155
62,6.41699e-06,11.523154,198.34288,246.8561,289.6388,301.31635,6.133997,-6.2594943,-2.209249,-2.619466,-0.19956553,-1.8031769,-0.12885796,-0.90664124,86.88822,0.00015079926,0.0004257049,1,0.0008451743
